name,price,rating,url,image_url,category
Wireless Bluetooth Earbuds with Noise Cancellation,$49.99,4.5 out of 5 stars,https://www.amazon.com/example/product1,https://example.com/image1.jpg,electronics
Smart Home Security Camera System,$129.99,4.3 out of 5 stars,https://www.amazon.com/example/product2,https://example.com/image2.jpg,electronics
Non-Stick Ceramic Cookware Set,$89.95,4.7 out of 5 stars,https://www.amazon.com/example/product3,https://example.com/image3.jpg,home-kitchen
Ergonomic Office Chair with Lumbar Support,$199.99,4.4 out of 5 stars,https://www.amazon.com/example/product4,https://example.com/image4.jpg,home-kitchen
Moisture-Wicking Athletic Performance T-Shirts (3-Pack),$24.95,4.2 out of 5 stars,https://www.amazon.com/example/product5,https://example.com/image5.jpg,fashion
Professional Chef Knife Set with Block,$79.99,4.6 out of 5 stars,https://www.amazon.com/example/product6,https://example.com/image6.jpg,home-kitchen
Portable Bluetooth Speaker with Enhanced Bass,$39.95,4.1 out of 5 stars,https://www.amazon.com/example/product7,https://example.com/image7.jpg,electronics
Digital Air Fryer with Smart Temperature Control,$119.99,4.8 out of 5 stars,https://www.amazon.com/example/product8,https://example.com/image8.jpg,home-kitchen
Adjustable Dumbbell Set for Home Gym,$249.99,4.5 out of 5 stars,https://www.amazon.com/example/product9,https://example.com/image9.jpg,sports-outdoors
Organic Cotton Bedding Set with Duvet Cover,$89.99,4.4 out of 5 stars,https://www.amazon.com/example/product10,https://example.com/image10.jpg,home-kitchen
